,country,alcoholic_beverages,animal_fats,animal_products,aquatic_products_other,cereals_excluding_beer,eggs,fish_seafood,fruits_excluding_wine,meat,milk_excluding_butter,miscellaneous,offals,oilcrops,pulses,spices,starchy_roots,stimulants,sugar_crops,sugar_sweeteners,treenuts,vegetable_oils,vegetables,vegetal_products,confirmed,deaths,recovered,active,population
12,Barbados,0.0,2.69005,17.498099999999997,0.0,1.4344500000000002,0.8212499999999999,1.22275,0.3139,8.89505,3.8033,0.21899999999999997,0.0657,2.20825,0.15695,0.21534999999999996,0.07300000000000001,0.40880000000000005,0.0,0.0,0.52925,10.621500000000001,0.17155,16.35565,0.137630662020906,0.0024390243902439,0.111149825783972,0.0240418118466899,287000.0
13,Belarus,0.0,7.190499999999999,21.77225,0.0,4.3946,1.44175,0.47085000000000005,0.2117,10.5704,1.8870500000000001,0.047450000000000006,0.2117,0.4015,0.0,0.014600000000000002,0.17884999999999998,0.7665000000000001,0.0,0.0,0.9562999999999999,16.64765,0.31024999999999997,23.9367,2.09304533333333,0.0152853333333333,1.89975466666667,0.178005333333333,9375000.0
14,Belgium,0.0,14.370049999999999,30.437350000000002,0.0,1.5403,1.33225,0.7044499999999999,0.2701,6.4677999999999995,7.40585,0.0,0.15695,0.59495,0.04015,0.11315,0.0876,0.09490000000000001,0.0,0.0,1.3724,22.02775,0.33945000000000003,26.48075,5.62995223621363,0.170047763786366,0.0,5.45990447242727,11515000.0
15,Belize,0.0,5.7743,14.001399999999999,0.0,1.7958,0.39785000000000004,0.24455000000000002,0.17884999999999998,6.0882000000000005,1.4746000000000001,0.11680000000000001,0.018250000000000002,0.8541,0.22265,0.029200000000000004,0.018250000000000002,0.4745,0.0,0.0,0.2263,11.39165,0.12410000000000002,15.428550000000001,2.57183770883055,0.0591885441527446,2.33770883054893,0.174940334128878,419000.0
16,Benin,0.0,0.20440000000000003,2.6207,0.0,1.9929,0.0876,0.365,0.08395,1.3943,0.52925,0.01095,0.04015,3.0988500000000005,0.27740000000000004,1.1023,0.45990000000000003,0.047450000000000006,0.0,0.0,0.81395,10.55945,0.1533,18.60405,0.0266278974526988,0.0003603898763207,0.0250716684413138,0.0011958391350643,12209000.0
17,Bolivia,,,,,,,,,,,,,,,,,,,,,,,,1.38386486718817,0.0788704547408235,1.13908707985902,0.165907332588326,11633000.0
18,Bosnia and Herzegovina,0.0,1.46365,14.753300000000001,0.0,2.19,0.50005,0.1825,0.35769999999999996,5.8035000000000005,6.74155,0.05474999999999999,0.06205000000000001,0.55115,0.12045,1.3286,0.0803,1.4855500000000001,0.0,0.0,0.57305,7.96065,0.47085000000000005,15.1767,3.41795184395002,0.124535202682109,2.36763181956721,0.925784821700701,3281000.0
19,Botswana,0.0,1.9564000000000001,8.033650000000002,0.0,3.4018,0.12775,0.17155,0.0803,1.64615,4.0369,0.09125,0.09855,0.5548000000000001,0.05474999999999999,0.25915,0.09125,0.3504,0.0,0.0,0.07300000000000001,10.5996,0.0876,15.6439,0.638972809667674,0.0018126888217522,0.523780750971083,0.113379369874838,2317000.0
20,Brazil,0.0,3.9675499999999997,22.6008,0.0,1.02565,0.7008,0.17155,0.22995000000000002,12.99765,4.69755,0.0,0.06935000000000001,1.5549,0.22995000000000002,0.007300000000000001,0.10949999999999999,0.10585,0.03285,0.01095,0.1606,19.2939,0.10949999999999999,22.86725,3.63557211111741,0.0922568126451759,3.2365361735879,0.306779124884331,211812000.0
21,Bulgaria,0.0,5.59545,18.9216,0.0,1.2884499999999999,0.85045,0.23725,0.18980000000000002,6.5189,5.5553,0.018250000000000002,0.16425,1.1534,0.03285,0.4306999999999999,0.025550000000000003,0.1314,0.0,0.0,0.23725,12.253050000000002,0.17155,15.9286,2.92392088927386,0.10977335065685,1.73730330590443,1.07684423271257,6927000.0
