,country,alcoholic_beverages,animal_fats,animal_products,aquatic_products_other,cereals_excluding_beer,eggs,fish_seafood,fruits_excluding_wine,meat,milk_excluding_butter,miscellaneous,offals,oilcrops,pulses,spices,starchy_roots,stimulants,sugar_crops,sugar_sweeteners,treenuts,vegetable_oils,vegetables,vegetal_products,confirmed,deaths,recovered,active,population
58,Greece,43.35,4.01,335.21,0.01,137.94,8.6,19.44,119.93,71.69,227.79,1.13,3.69,15.37,4.81,0.46,59.32,4.85,0.0,33.62,12.65,28.87,149.94,612.08,1.30324299065421,0.0456168224299065,0.876299065420561,0.381327102803738,10700000.0
59,Grenada,32.89,1.34,127.42,0.02,80.42,9.69,27.1,116.17,59.39,28.55,13.52,1.33,14.46,6.74,3.33,23.34,1.16,0.0,57.22,0.15,10.46,37.9,397.69,0.112389380530973,0.0,0.0946902654867257,0.0176991150442478,113000.0
60,Guatemala,15.66,0.88,95.38,0.0,139.33,13.49,2.58,61.7,36.39,40.53,0.32,1.5,4.85,15.17,0.37,12.24,2.64,0.0,48.77,1.82,8.04,53.31,364.22,0.765172146573674,0.0266799512897155,0.700797077382929,0.0376951179010296,18066000.0
61,Guinea,3.51,0.24,43.77,0.0,195.18,1.86,10.09,89.62,13.05,16.62,2.61,1.91,10.73,4.43,0.0,133.15,1.35,0.0,15.09,0.01,14.98,49.99,520.6,0.10937898089172,0.0006449044585987,0.104721337579618,0.0040127388535031,12560000.0
62,Guinea-Bissau,19.2,0.33,38.47,0.0,168.62,0.81,1.3,49.68,17.29,17.09,4.16,1.65,2.56,1.95,0.01,63.28,0.13,0.0,6.16,3.5,14.06,18.45,351.7,0.127244421380384,0.0023352361183186,0.124390243902439,0.0005189413596263,1927000.0
63,Guyana,33.52,0.37,163.33,0.0,175.32,1.86,30.48,103.84,45.22,84.71,6.3,0.69,32.91,7.0,3.48,32.94,1.33,0.0,57.92,0.78,4.98,272.46,732.34,0.806607369758577,0.0208386277001271,0.74561626429479,0.0401524777636595,787000.0
64,Haiti,11.39,0.36,32.19,0.0,120.04,0.47,4.53,107.59,17.61,7.84,2.96,1.37,4.32,17.95,0.02,102.69,3.4,0.0,18.75,0.0,7.82,18.16,415.05,0.0878277646233447,0.0020696307989125,0.0756292203806016,0.0101289134438306,11403000.0
65,Honduras,19.49,1.3,128.33,0.0,133.66,4.34,3.15,64.58,33.09,85.04,6.53,1.42,1.65,13.17,0.13,6.41,4.42,0.0,56.21,0.26,11.76,25.09,343.24,1.24669505271695,0.0320356853203569,0.577210056772101,0.637449310624493,9864000.0
66,Hungary,103.45,16.23,306.78,0.01,116.28,13.61,6.3,47.26,79.72,190.82,0.06,0.08,1.04,2.92,2.76,46.66,1.58,0.0,38.96,0.28,11.05,86.99,459.01,3.33037780280536,0.0989761441589024,1.60809869970308,1.62330295894338,9767000.0
67,Iceland,93.52,18.61,471.48,0.05,81.03,10.93,90.71,95.21,91.01,255.76,27.58,4.39,3.46,0.74,1.33,39.16,9.1,0.0,77.64,1.48,9.18,72.53,512.06,1.56358695652174,0.0078804347826087,1.51576086956522,0.039945652173913,368000.0
