,country,alcoholic_beverages,animal_fats,animal_products,aquatic_products_other,cereals_excluding_beer,eggs,fish_seafood,fruits_excluding_wine,meat,milk_excluding_butter,miscellaneous,offals,oilcrops,pulses,spices,starchy_roots,stimulants,sugar_crops,sugar_sweeteners,treenuts,vegetable_oils,vegetables,vegetal_products,confirmed,deaths,recovered,active,population
10,Bahamas,0.014600000000000002,0.04015,15.333649999999999,0.0,3.5039999999999996,0.7519000000000001,2.57325,0.84315,9.1688,2.1681,0.50735,0.6351,0.36135,0.12410000000000002,0.10949999999999999,0.16425,0.19344999999999998,0.0,0.0,0.0657,0.014600000000000002,1.20085,7.102900000000001,2.00687022900763,0.0435114503816794,1.58753180661578,0.375826972010178,393000.0
11,Bangladesh,0.0,0.0036500000000000005,4.3654,0.0,13.96125,0.31755,2.5659500000000004,0.13505,0.5621,0.8176000000000001,0.01095,0.09855,0.2628,1.4307999999999998,0.3285,0.8613999999999998,0.051100000000000007,0.0036500000000000005,0.014600000000000002,0.047450000000000006,0.0,0.52925,17.640449999999998,0.302987474162147,0.0044614831958259,0.270101113604108,0.0284248773622128,169809000.0
12,Barbados,0.0876,0.07300000000000001,18.38505,0.0,8.01905,0.9453499999999999,4.36175,0.44895,9.114049999999999,3.5149500000000007,0.5913,0.37960000000000005,0.803,1.73375,0.20440000000000003,0.9271,0.23360000000000003,0.0,0.0,0.1606,0.018250000000000002,0.96725,14.191200000000002,0.137630662020906,0.0024390243902439,0.111149825783972,0.0240418118466899,287000.0
13,Belarus,0.23360000000000003,0.09125,18.61135,0.0,9.42795,1.5731499999999998,1.6863,0.30295,9.782,4.13545,0.11680000000000001,1.3432,0.35769999999999996,0.0036500000000000005,0.014600000000000002,2.8543000000000003,0.20804999999999998,0.0,0.0,0.23725,0.014600000000000002,1.9637,15.73515,2.09304533333333,0.0152853333333333,1.89975466666667,0.178005333333333,9375000.0
14,Belgium,0.40515,0.34675,21.12255,0.0,10.205400000000001,1.4527,2.2228499999999998,0.45625,7.44965,8.82935,0.0,0.81395,0.16425,0.5183,0.0876,1.4307999999999998,0.3139,0.0,0.0036500000000000005,0.4015,0.08395,1.8688000000000002,15.9432,5.62995223621363,0.170047763786366,0.0,5.45990447242727,11515000.0
15,Belize,0.09855,0.0438,9.289250000000001,0.0,9.12865,0.45990000000000003,1.1315,0.7373000000000001,5.2706,2.2557,0.32485,0.12410000000000002,0.8759999999999999,2.93825,0.025550000000000003,0.20075,0.14235,0.0,0.0,0.06205000000000001,0.018250000000000002,0.6789000000000001,15.231449999999999,2.57183770883055,0.0591885441527446,2.33770883054893,0.174940334128878,419000.0
16,Benin,0.3504,0.0036500000000000005,5.25235,0.0,8.654150000000001,0.10585,1.73375,0.16425,2.6791,0.51465,0.03285,0.2117,1.52935,2.01115,0.7665000000000001,3.6609499999999997,0.01095,0.0,0.0,0.2701,0.0,0.8212499999999999,18.2719,0.0266278974526988,0.0003603898763207,0.0250716684413138,0.0011958391350643,12209000.0
17,Bolivia,,,,,,,,,,,,,,,,,,,,,,,,1.38386486718817,0.0788704547408235,1.13908707985902,0.165907332588326,11633000.0
18,Bosnia and Herzegovina,0.36865000000000003,0.0438,12.676449999999999,0.0,13.315199999999999,0.5475,0.5767,0.50735,4.63915,6.4860500000000005,0.14965,0.38325000000000004,0.4745,1.1753,0.9307499999999999,1.2848,0.6533500000000001,0.0,0.0036500000000000005,0.14235,0.01095,2.87985,21.892699999999998,3.41795184395002,0.124535202682109,2.36763181956721,0.925784821700701,3281000.0
19,Botswana,0.1752,0.07300000000000001,9.65425,0.0,10.4171,0.15695,0.39055,0.17884999999999998,3.9785,4.47125,0.23725,0.5840000000000001,0.7409499999999999,0.6278,0.19344999999999998,0.82855,0.14600000000000002,0.0,0.0,0.018250000000000002,0.007300000000000001,0.56575,14.136449999999998,0.638972809667674,0.0018126888217522,0.523780750971083,0.113379369874838,2317000.0
