,country,confirmed,deaths,recovered,active,population
27,Central African Republic,0.102753623188406,0.0013043478260869,0.0398343685300207,0.0616149068322981,4830000.0
28,Chad,0.012685903892872,0.0006162232624281,0.0100965811459383,0.0019730994845055,16877000.0
29,Chile,3.14619414483821,0.0855675398048279,2.97484848484848,0.0857781201848998,19470000.0
30,China,0.0068471211543192,0.0003409905268524,0.0064198490428805,8.62815845862584e-05,1402385000.0
31,Colombia,3.34697839980584,0.0879682064557884,3.07529326106302,0.183716932287032,49444000.0
32,Congo,0.452265313519391,0.0126676332004349,0.372363175063429,0.0672345052555274,5518000.0
33,Costa Rica,3.31287419291724,0.0427509293680297,2.5811582860497,0.688964977499511,5111000.0
34,Cote d'Ivoire,0.0862005730659026,0.0005272206303724,0.0839770773638969,0.0016962750716332,26175000.0
35,Croatia,5.27380597014925,0.0985323383084577,4.97064676616915,0.204626865671642,4020000.0
36,Cuba,0.106869958337027,0.0012942115060721,0.0917028632213456,0.0138728836096091,11281000.0
37,Cyprus,1.89047224523612,0.0105219552609776,0.170422535211268,1.70952775476388,1207000.0
38,Czechia,6.83111235535648,0.109285181037701,5.59978536767451,1.12204180664427,10716000.0
39,Denmark,2.85755704237434,0.0226797049236576,2.25407445530966,0.580802882141019,5829000.0
40,Djibouti,0.591093117408907,0.0061740890688259,0.580465587044534,0.0044534412955465,988000.0
41,Dominica,0.122222222222222,0.0,0.115277777777778,0.0069444444444444,72000.0
42,Dominican Republic,1.64017142857143,0.0230095238095238,1.25279047619048,0.364371428571429,10500000.0
43,Ecuador,1.21853691965051,0.0802409913768488,1.05366341156987,0.0846325167037862,17511000.0
44,Egypt,0.138359969445354,0.0076257651061972,0.111927224388163,0.0188069799509935,100803000.0
45,El Salvador,0.709149822558247,0.020475235303194,0.709149822558247,0.0540811603147662,6481000.0
46,Estonia,2.13418482344102,0.0175807663410969,1.42952667167543,0.687077385424493,1331000.0
47,Eswatini,0.858876811594203,0.0195652173913043,0.640670289855072,0.198641304347826,1104000.0
48,Ethiopia,0.108472275401163,0.0016855790316405,0.0976809147551255,0.0091057816143966,114916000.0
49,Fiji,0.00546875,0.0002232142857142,0.0049107142857142,0.0003348214285714,896000.0
50,Finland,0.658401157533008,0.0101465002712968,0.524507144149032,0.123747513112679,5529000.0
51,France,4.15308592546966,0.0999260856174931,0.309242377579304,3.74391746227287,64940000.0
52,French Polynesia,,,,,280000.0
53,Gabon,0.429000448229494,0.0028686687584043,0.420797848498431,0.005333930972658,2231000.0
54,Gambia,0.157219693835333,0.0051303268514687,0.151799751758378,0.0002896152254861,2417000.0
55,Georgia,6.14831763122476,0.0680484522207268,5.787133243607,0.293135935397039,3715000.0
56,Germany,2.11601080432173,0.0409903961584634,1.66715966386555,0.407860744297719,83300000.0
